Пол человека,Рост человека,Возраст человека,IQ человека
М,168,40,92
М,194,13,112
М,169,34,112
Ж,195,38,128
Ж,161,63,90
М,199,9,104
М,163,36,115
Ж,163,56,103
Ж,187,22,100
Ж,160,95,116
М,197,7,129
Ж,182,48,123
М,191,82,100
М,198,75,86
М,199,84,95
Ж,173,67,114
М,163,43,104
М,184,69,119
Ж,172,99,140
М,186,59,112
Ж,153,55,126
М,163,13,97
Ж,164,73,94
М,162,76,117
М,188,99,81
М,163,61,90
М,195,98,81
М,157,45,129
М,153,71,99
М,170,19,89
Ж,197,21,134
М,188,87,101
М,166,31,120
Ж,192,51,110
М,182,24,124
Ж,150,95,112
Ж,160,98,140
М,151,93,121
Ж,198,9,99
Ж,152,26,82
Ж,157,67,123
М,161,13,95
Ж,193,7,95
Ж,184,43,113
Ж,153,73,131
Ж,168,65,126
Ж,191,44,118
М,165,57,97
М,158,43,129
Ж,154,24,92
