Пол человека,Рост человека,Возраст человека,IQ человека
М,192,68,103
М,195,68,129
М,177,75,99
М,184,46,130
Ж,154,48,91
М,165,78,112
М,186,70,104
Ж,173,33,136
Ж,164,81,109
Ж,175,76,100
М,181,37,80
М,182,67,101
М,175,30,94
Ж,193,54,127
М,178,67,96
Ж,177,43,99
Ж,150,100,97
М,156,25,95
Ж,189,48,122
Ж,183,82,84
Ж,180,41,109
Ж,162,57,126
Ж,181,12,85
Ж,174,54,119
Ж,159,16,90
Ж,150,16,125
Ж,165,74,86
Ж,188,7,93
Ж,158,85,101
М,177,94,91
Ж,160,91,88
Ж,179,15,103
Ж,157,35,113
М,190,79,126
Ж,195,54,106
М,199,80,106
Ж,192,75,126
Ж,198,11,106
Ж,186,17,111
Ж,173,47,138
М,188,68,124
Ж,150,35,118
М,150,64,80
Ж,166,80,87
М,191,34,123
М,195,2,118
М,184,65,112
М,158,53,82
Ж,150,83,120
Ж,178,45,82
